,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,156.1532029,-19.0924814,b'10h24m36.77s',b'-19d05m32.93s',0.0438,0.0472,-0.0153,6.89,0.022,49.4,0.4382,6.91,0.013,84.7,1.064,6.891,0.018,60.1,1.582,6.887,0.206,5.3,0.5885,1,0,0.167,0.0,0.0,0.0,0000,AAAB,0,55348.074058,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.032528,17.675002
1,156.1532323,-19.0924693,b'10h24m36.78s',b'-19d05m32.89s',0.0593,0.0597,-0.006,6.772,0.026,41.2,2.055,6.935,0.017,63.9,1.118,6.901,0.019,56.3,1.098,6.778,0.189,5.7,1.141,1,0,0.208,0.0,0.0,0.0,0000,AAAB,0,55348.206362,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.13277,55.85599
2,156.1531831,-19.0924809,b'10h24m36.76s',b'-19d05m32.93s',0.0631,0.0595,-0.0092,6.823,0.025,42.9,1.205,6.888,0.018,59.0,0.597,6.906,0.02,54.1,0.6536,6.874,0.231,4.7,1.454,1,0,0.167,0.0,0.0,0.0,0000,AAAB,0,55348.338666,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.066207,299.674726
3,156.1531825,-19.0925035,b'10h24m36.76s',b'-19d05m33.01s',0.059,0.0682,-0.0015,6.847,0.028,39.0,0.5619,6.969,0.02,54.6,0.5454,6.94,0.017,65.6,1.269,6.965,0.245,4.4,0.8148,1,0,0.182,0.0,0.0,0.0,0000,AAAB,0,55348.47097,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.07684,230.774078
4,156.1532005,-19.0924925,b'10h24m36.77s',b'-19d05m32.97s',0.0617,0.0551,-0.0101,6.842,0.025,43.4,1.007,6.885,0.017,62.8,1.459,6.907,0.018,61.4,1.376,6.849,0.203,5.3,0.5469,1,0,0.174,0.0,0.0,0.0,0000,AAAB,0,55348.537058,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.009221,169.297433
5,156.1532234,-19.0925159,b'10h24m36.77s',b'-19d05m33.06s',0.0734,0.0803,0.0276,6.836,0.032,33.7,0.7168,6.883,0.024,45.9,0.6984,6.921,0.017,64.3,1.306,6.935,0.235,4.6,0.973,1,0,0.217,0.0,0.0,0.0,0000,AAAB,0,55348.603273,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.122597,139.510089
6,156.1532319,-19.0924961,b'10h24m36.78s',b'-19d05m32.99s',0.0683,0.0614,0.0079,6.835,0.032,34.0,0.3809,6.895,0.016,66.1,0.8848,6.921,0.026,41.9,0.7536,6.885,0.209,5.2,1.569,1,0,0.069,0.0,0.0,0.0,0000,AAAB,0,55348.669362,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.110734,101.439548
7,156.1531735,-19.0925018,b'10h24m36.76s',b'-19d05m33.01s',0.0654,0.062,-0.0177,6.852,0.029,37.8,0.5754,6.871,0.017,64.8,0.9055,6.938,0.021,52.8,1.242,6.88,0.22,4.9,0.8824,1,0,0.217,0.0,0.0,0.0,0000,AAAB,0,55348.735577,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.099643,244.770038
8,156.1532101,-19.0925148,b'10h24m36.77s',b'-19d05m33.05s',0.0603,0.0609,0.0149,7.034,0.023,46.8,19.59,6.879,0.022,50.3,0.7079,6.9,0.017,64.7,1.198,6.735,0.188,5.8,0.6236,1,0,0.167,0.0,0.0,0.0,0000,AAAB,0,55348.801665,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.095677,158.950507
9,156.1531895,-19.0924872,b'10h24m36.77s',b'-19d05m32.95s',0.0573,0.0626,0.0023,6.91,0.021,52.0,1.911,6.884,0.023,47.8,0.4983,6.939,0.017,63.4,2.582,6.634,0.173,6.3,1.661,1,0,0.067,0.0,0.0,0.0,0000,AAAB,0,55348.867881,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.037138,285.758502
10,156.1532219,-19.0924761,b'10h24m36.77s',b'-19d05m32.91s',0.0586,0.0548,0.0068,6.839,0.027,40.9,1.373,6.896,0.016,69.0,1.461,6.899,0.017,64.4,0.9246,7.33,0.312,3.5,1.245,1,0,0.227,0.0,0.0,0.0,0000,AAAB,0,55348.933969,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.089768,56.112744
11,156.1532466,-19.09249,b'10h24m36.78s',b'-19d05m32.96s',0.0573,0.0607,-0.0151,6.829,0.022,48.9,1.524,6.945,0.018,61.0,0.775,6.929,0.018,61.8,1.338,6.697,0.174,6.2,0.925,1,0,0.208,0.0,0.0,0.0,0000,AAAB,0,55349.066273,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.158521,90.000008
12,156.153212,-19.0925007,b'10h24m36.77s',b'-19d05m33.00s',0.0656,0.0716,0.0147,6.849,0.026,41.4,1.035,6.92,0.022,50.1,0.7722,6.931,0.021,52.7,1.033,6.761,0.18,6.0,1.635,1,0,0.2,0.0,0.0,0.0,0000,AAAB,0,55349.198577,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.056088,133.336957
